"Name","age","gp","pts","Score_total"
"Vinny Del Negro",35,2,1,2
"Steve Goodrich",26,9,0.6,5.4
"Greg Foster",33,6,1.2,7.2
"Ira Bowman",29,3,3.3,9.9
"Ernest Brown",23,3,1,3
"Dickey Simpkins",30,1,0,0
"Eldridge Recasner",34,6,0.8,4.8
"Larry Robinson",34,2,1.5,3
"Jamison Brewer",21,13,0.3,3.9
"Joseph Forte",21,8,0.8,6.4
"Jeryl Sasser",23,7,1.4,9.8
"Charlie Bell",23,7,1.1,7.7
"Darrick Martin",31,3,0.3,0.9
"Dee Brown",33,7,1,7
"Daniel Santiago",26,3,2.7,8.1
"Antonio Harvey",31,5,1.8,9
"Mengke Bateer",27,12,0.8,9.6
"Mark Strickland",32,4,1,4
"Pepe Sanchez",26,9,0,0
"Paul Shirley",25,2,0,0
"Kirk Haston",24,12,0.5,6
"Ruben Boumtje-Boumtje",25,2,0,0
"Ruben Wolkowyski",29,7,0.7,4.9
"Zendon Hamilton",28,3,2,6
"Chris Dudley",38,3,0,0
"Charles Smith",27,3,1.7,5.1
"Chris Owens",24,1,4,4
"Alton Ford",22,11,0.6,6.6
"A.J. Guyton",25,2,0,0
"Brian Cardinal",26,5,0.8,4
"Brandon Williams",28,6,0.3,1.8
"Antonio Harvey",32,4,1,4
"Jamal Sampson",20,5,0,0
"Guy Rucker",25,3,0,0
"Donny Marshall",30,3,0,0
"Don Reid",29,1,1,1
"Randy Livingston",28,2,3,6
"Charles Oakley",40,7,1.3,9.1
"Cezary Trybanski",24,7,0.1,0.7
"Dana Barros",37,1,6,6
"Damone Brown",25,3,1,3
"Alex Garcia",24,2,1.5,3
"James Jones",23,6,1.2,7.2
"Ime Udoka",26,4,2,8
"Josh Davis",23,4,1.3,5.2
"Kaniel Dickens",25,3,2.3,6.9
"Hubert Davis",34,17,0.2,3.4
"Jerome Beasley",24,2,1,2
"Jelani McCoy",26,2,0,0
"Hiram Fuller",23,4,2,8
"Slavko Vranes",21,1,0,0
"Ryan Humphrey",24,2,1,2
"Rusty LaRue",30,4,1,4
"Ruben Boumtje-Boumtje",26,9,0.4,3.6
"Tyrone Hill",36,5,1.8,9
"Tierre Brown",25,3,2,6
"Tracy Murray",32,7,1.1,7.7
"Travis Outlaw",19,8,1,8
"Randy Livingston",29,4,2,8
"Mark Pope",31,4,0.5,2
"Leon Smith",23,1,2,2
"Keon Clark",29,2,2,4
"Kirk Penney",23,2,1.5,3
"Olden Polynice",39,2,0,0
"Pat Garrity",27,2,1,2
"Popeye Jones",34,5,0,0
"Mengke Bateer",28,7,1.1,7.7
"Maurice Baker",25,5,0,0
"Mark Pope",32,9,0.4,3.6
"Kirk Penney",24,4,0.5,2
"Lonny Baxter",26,4,1.5,6
"Linton Johnson",25,2,0,0
"Lawrence Funderburke",34,2,4.5,9
"Pavel Podkolzin",20,5,0.2,1
